Student_ID,Age,Gender,Department,Year_of_Study,CGPA,Attendance_Percentage,Study_Hours_per_Week,Extracurricular_Activities,Part_Time_Job,Satisfaction_Level,Scholarship,Parental_Education_Level,Internet_Access,Family_Income
S0001,24,Non-binary,Biology,Second,3.78,86.13,28,Yes,Yes,Neutral,Yes,PhD,Yes,Low
S0002,21,Non-binary,Physics,Third,2.69,57.24,11,No,No,Very Satisfied,No,PhD,No,Medium
S0003,28,Male,Economics,Third,2.85,71.93,19,Yes,Yes,Very Dissatisfied,No,Bachelor's,No,Medium
S0004,25,Male,Chemistry,Fourth,2.91,77.15,29,Yes,No,Very Satisfied,No,Bachelor's,No,Medium
S0005,22,Female,Biology,Fourth,2.35,85.11,21,Yes,No,Dissatisfied,Yes,High School,No,High
S0006,24,Female,Biology,First,2.5,,37,No,No,Dissatisfied,No,Master's,No,Low
S0007,27,Female,Chemistry,First,3.28,72.87,6,No,Yes,Satisfied,No,Master's,No,Low
S0008,20,Non-binary,Biology,Second,3.96,88.28,14,No,Yes,Neutral,Yes,Master's,No,Medium
S0009,24,Non-binary,Biology,Second,2.48,68.9,18,No,No,Very Satisfied,Yes,Bachelor's,Yes,High
S0010,28,Non-binary,Chemistry,Third,4.15,99.36,16,Yes,No,Dissatisfied,No,Master's,Yes,Low
S0011,28,Non-binary,Computer Science,Fourth,2.72,97.39,21,No,No,Very Dissatisfied,Yes,Master's,No,Medium
S0012,25,Female,Economics,Second,3.61,85.37,18,Yes,No,Very Satisfied,No,High School,Yes,Low
S0013,22,Non-binary,Mathematics,Third,3.21,94.13,14,Yes,No,Satisfied,Yes,Bachelor's,No,Medium
S0014,21,Non-binary,Physics,Third,3.1,69.66,33,Yes,No,Very Dissatisfied,Yes,High School,No,Low
S0015,25,Non-binary,Mathematics,First,2.79,79.07,10,Yes,No,Neutral,No,Master's,No,Low
S0016,25,Non-binary,Computer Science,Fourth,3.01,63.63,35,Yes,No,Satisfied,No,High School,No,Medium
S0017,20,Male,Computer Science,Third,2.64,94.28,13,No,No,Neutral,Yes,Master's,No,High
S0018,23,Female,Biology,First,3.47,73.55,37,No,No,Neutral,No,Master's,No,Medium
S0019,22,Female,Mathematics,Third,3.56,76.81,11,No,Yes,Dissatisfied,Yes,High School,No,Medium
S0020,19,Non-binary,Computer Science,Fourth,2.67,93.23,12,No,No,Neutral,No,High School,No,Medium
S0021,25,Male,Mathematics,Third,2.18,89.86,38,Yes,Yes,Very Dissatisfied,No,PhD,Yes,Low
S0022,29,Female,Computer Science,Third,2.84,,21,No,No,Very Dissatisfied,No,Master's,Yes,Medium
S0023,23,Female,Physics,Second,3.99,54.37,21,No,No,Very Dissatisfied,Yes,PhD,Yes,High
S0024,19,Non-binary,Computer Science,Second,3.12,58.1,34,Yes,Yes,Very Satisfied,No,Bachelor's,Yes,High
S0025,29,Non-binary,Mathematics,First,3.58,66.95,22,No,Yes,Dissatisfied,Yes,PhD,No,Medium
S0026,22,Female,Biology,Third,2.54,,19,No,No,Dissatisfied,No,Bachelor's,No,High
S0027,18,Female,Mathematics,First,,51.92,24,No,No,Very Dissatisfied,No,PhD,No,Medium
S0028,29,Male,Chemistry,Fourth,2.84,71.6,29,Yes,No,Very Satisfied,No,PhD,Yes,High
S0029,27,Female,Mathematics,First,2.41,55.29,18,No,No,Neutral,Yes,PhD,No,Medium
S0030,23,Female,Physics,Third,3.08,61.04,31,Yes,Yes,Neutral,Yes,High School,Yes,Medium
S0031,29,Non-binary,Economics,Second,2.59,89.37,39,No,Yes,Neutral,Yes,Bachelor's,Yes,High
S0032,26,Female,Physics,Second,3.47,74.74,32,Yes,No,Dissatisfied,No,PhD,Yes,Medium
S0033,18,Non-binary,Physics,First,3.04,68.65,10,Yes,No,Neutral,Yes,PhD,No,Low
S0034,28,Female,Computer Science,Second,3.74,59.27,35,No,No,Very Satisfied,Yes,Bachelor's,No,Medium
S0035,28,Female,Physics,Third,2.16,,18,Yes,No,Very Satisfied,No,PhD,No,Low
S0036,27,Female,Mathematics,Third,,95.18,20,Yes,Yes,Neutral,Yes,Master's,Yes,Medium
S0037,29,Male,Economics,Fourth,2.8,75.93,9,Yes,No,Dissatisfied,No,High School,Yes,High
S0038,29,Non-binary,Biology,Second,3.23,96.06,36,No,No,Satisfied,No,High School,Yes,Medium
S0039,20,Male,Physics,Second,2.79,73.24,15,Yes,Yes,Very Dissatisfied,No,High School,No,Low
S0040,29,Female,Mathematics,Fourth,3.86,55.36,26,No,No,Neutral,No,PhD,Yes,Medium
S0041,24,Male,Computer Science,First,2.91,50.85,32,Yes,No,Neutral,No,High School,No,Low
S0042,21,Non-binary,Computer Science,Fourth,2.55,56.42,10,No,No,Very Dissatisfied,Yes,Master's,Yes,Low
